Timestamp,ESP32_Data,Manual
1759056365.9733763,"0.976,-0.028,0.240,0.974,10.713,8.000,89.953,-0.214,49.807,3128",0
1759056366.2063773,"0.980,-0.028,0.244,0.696,10.852,8.209,89.953,-0.214,49.568,3484",0
1759056366.2283769,"0.976,-0.016,0.244,0.348,10.157,8.070,89.953,-0.213,49.569,879",0
1759056366.2503772,"0.976,-0.016,0.244,4558.887,9.670,8.000,89.952,-0.212,49.757,1934",0
1759056366.2723756,"0.972,-0.012,0.248,0.000,8.835,7.652,89.952,-0.212,49.703,3936",0
1759056366.2943757,"0.972,-0.012,0.248,4558.817,8.417,7.652,89.952,-0.212,49.758,1799",0
1759056366.316376,"0.968,-0.004,0.252,4558.678,8.626,8.348,89.952,-0.212,49.813,986",0
1759056366.3383772,"0.980,-0.012,0.256,4558.678,8.696,7.652,89.951,-0.214,49.787,3511",0
1759056366.3603761,"0.980,-0.012,0.256,4558.957,8.487,7.722,89.949,-0.214,49.705,2922",0
1759056366.3823762,"0.980,-0.024,0.264,0.209,8.765,7.165,89.949,-0.214,49.787,793",0
1759056366.4043763,"0.980,-0.040,0.264,0.696,10.017,7.235,89.949,-0.214,50.004,3887",0
1759056366.4273763,"0.992,-0.044,0.272,0.904,9.530,5.983,89.947,-0.217,50.169,1688",0
1759056366.4493768,"0.992,-0.044,0.272,1.461,9.948,6.330,89.947,-0.217,50.034,1036",0
1759056366.4713762,"0.988,-0.056,0.268,2.365,10.017,6.052,89.948,-0.216,49.924,3564",0
1759056366.4933765,"0.988,-0.056,0.268,2.574,9.878,5.496,89.945,-0.218,49.981,2874",0
1759056366.515376,"0.996,-0.056,0.284,3.130,8.974,4.870,89.945,-0.218,50.036,792",0
1759056366.537376,"0.996,-0.056,0.284,3.617,8.696,4.313,89.942,-0.218,50.036,2523",0
1759056366.5593758,"0.996,-0.048,0.296,3.757,8.487,3.896,89.942,-0.218,50.036,3689",0
1759056366.5813766,"1.004,-0.048,0.284,4.104,8.000,3.478,89.945,-0.219,50.036,1243",0
1759056366.6033788,"1.004,-0.048,0.284,4.939,7.165,2.852,89.949,-0.219,50.036,1432",0
1759056366.625376,"1.000,-0.040,0.264,5.496,6.887,3.061,89.949,-0.219,50.036,3804",0
1759056366.6473784,"1.000,-0.040,0.264,5.843,7.443,3.200,89.950,-0.220,50.036,2296",0
1759056366.6693766,"1.008,-0.048,0.260,6.400,8.139,3.339,89.950,-0.220,50.036,810",0
1759056366.691377,"1.020,-0.048,0.256,7.096,9.878,4.870,89.951,-0.223,50.036,3054",0
1759056366.7133758,"1.020,-0.048,0.256,7.861,9.252,2.365,89.951,-0.223,50.036,3371",0
1759056366.7353761,"1.020,-0.032,0.256,7.374,9.600,3.270,89.951,-0.223,50.036,847",0
1759056366.7573779,"1.020,-0.032,0.256,6.957,8.278,2.852,89.953,-0.217,50.036,1869",0
1759056366.779378,"0.992,-0.036,0.244,6.052,7.652,2.852,89.953,-0.217,50.036,3791",0
1759056366.801376,"0.980,-0.036,0.236,5.774,8.070,4.591,89.955,-0.214,50.036,1709",0
1759056366.823377,"0.980,-0.036,0.236,5.357,6.678,3.200,89.952,-0.215,50.036,906",0
1759056366.8453767,"0.984,-0.028,0.248,4.730,6.957,2.991,89.952,-0.215,50.036,3387",0
1759056366.8673768,"0.984,-0.028,0.248,4.452,6.400,3.548,89.949,-0.214,50.036,2864",0
1759056366.8893778,"0.980,-0.032,0.264,4.313,6.748,3.826,89.949,-0.214,50.064,731",0
1759056366.9113762,"0.980,-0.040,0.272,4.243,6.122,3.200,89.947,-0.214,50.313,2362",0
1759056366.9333768,"0.980,-0.040,0.272,3.896,5.983,3.826,89.947,-0.214,50.614,3648",0
1759056366.9553778,"0.976,-0.040,0.280,3.687,6.748,4.730,89.945,-0.213,50.557,1256",0
1759056366.9773817,"0.976,-0.040,0.280,4.452,7.235,6.330,89.943,-0.218,50.502,1272",0
1759056366.9993916,"0.996,-0.052,0.292,4.452,7.443,5.913,89.943,-0.218,50.582,3722",0
1759056367.0213919,"0.980,-0.044,0.292,4.313,8.209,6.957,89.943,-0.214,50.695,2360",0
1759056367.043144,"0.980,-0.044,0.292,4.243,6.887,7.096,89.943,-0.214,50.667,751",0
1759056367.0651412,"0.976,-0.044,0.296,4.104,6.817,7.304,89.942,-0.213,50.694,2909",0
1759056367.0875416,"0.976,-0.044,0.296,4.174,6.330,8.487,89.938,-0.211,50.778,3367",0
1759056367.109842,"0.964,-0.056,0.312,4.313,6.748,9.878,89.938,-0.211,50.944,846",0
1759056367.13185,"0.976,-0.068,0.304,4.800,6.261,9.948,89.940,-0.213,50.919,1800",0
1759056367.1538515,"0.976,-0.068,0.304,4.939,6.330,10.852,89.940,-0.213,50.782,3853",0
1759056367.1758482,"0.964,-0.076,0.292,5.357,5.635,10.504,89.943,-0.211,50.895,1913",0
1759056367.1978722,"0.964,-0.076,0.292,5.357,5.635,10.783,89.945,-0.211,50.843,1052",0
1759056367.2198825,"0.964,-0.080,0.280,5.774,4.730,10.852,89.945,-0.211,50.816,3551",0
1759056367.2418816,"0.952,-0.072,0.272,5.843,4.243,10.087,89.947,-0.208,50.871,3069",0
1759056367.2638826,"0.952,-0.072,0.272,5.913,4.104,11.130,89.947,-0.208,50.871,863",0
1759056367.2858803,"0.964,-0.060,0.272,5.774,4.452,11.130,89.947,-0.211,50.871,2503",0
1759056367.307764,"0.964,-0.060,0.272,5.565,4.800,10.852,89.947,-0.212,50.871,3836",0
1759056367.3302934,"0.968,-0.044,0.272,5.635,4.452,10.852,89.947,-0.212,50.871,1384",0
1759056367.3522902,"0.968,-0.044,0.272,5.357,4.661,11.548,89.945,-0.209,50.871,1390",0
1759056367.3743007,"0.956,-0.036,0.280,5.009,4.800,11.757,89.945,-0.209,50.871,3870",0
1759056367.3962998,"0.952,-0.044,0.268,4.870,4.730,12.243,89.948,-0.208,50.871,2505",0
1759056367.4183207,"0.952,-0.044,0.268,5.287,5.009,11.965,89.948,-0.207,50.871,872",0
1759056367.4403124,"0.948,-0.052,0.268,5.565,4.591,11.200,89.948,-0.207,50.871,3050",0
1759056367.462897,"0.948,-0.052,0.268,5.426,4.035,10.852,89.949,-0.206,50.871,3500",0
1759056367.4857392,"0.940,-0.044,0.264,5.774,3.965,11.130,89.949,-0.206,50.871,985",0
1759056367.5077393,"0.944,-0.048,0.268,5.843,4.313,11.130,89.948,-0.206,50.871,1913",0
1759056367.5295057,"0.944,-0.048,0.268,5.843,4.452,10.713,89.947,-0.206,50.871,3899",1
1759056367.5519655,"0.944,-0.048,0.272,5.704,4.104,10.157,89.947,-0.206,50.871,1864",1
1759056367.5742097,"0.944,-0.048,0.272,5.357,3.617,9.530,89.945,-0.208,50.871,991",1
1759056367.5962067,"0.952,-0.048,0.284,4.939,3.339,9.043,89.945,-0.208,50.871,3480",1
1759056367.6182067,"0.948,-0.048,0.288,4.452,2.574,8.278,89.944,-0.207,50.872,3030",1
1759056367.640207,"0.948,-0.048,0.288,4.243,2.226,7.443,89.944,-0.207,50.597,809",1
1759056367.6622066,"0.948,-0.056,0.288,4.035,1.461,6.609,89.944,-0.207,50.261,2432",1
1759056367.6842084,"0.948,-0.056,0.288,3.617,0.487,4.870,89.945,-0.206,50.205,3839",1
1759056367.7062068,"0.940,-0.052,0.280,2.852,4558.957,3.687,89.945,-0.206,50.402,1321",1
1759056367.728212,"0.956,-0.056,0.284,2.713,0.417,3.130,89.945,-0.209,50.546,1278",1
1759056367.751207,"0.956,-0.056,0.284,2.643,4558.817,2.157,89.945,-0.209,50.574,3899",1
1759056367.7732096,"0.960,-0.060,0.288,2.852,4558.609,1.322,89.944,-0.210,50.544,2474",1
1759056367.795209,"0.960,-0.060,0.288,2.991,4557.774,0.070,89.944,-0.212,50.321,728",1
1759056367.8172066,"0.968,-0.048,0.288,3.270,4557.843,4558.539,89.944,-0.212,50.320,3021",1
1759056367.8392065,"0.972,-0.048,0.296,3.270,4557.496,4556.939,89.942,-0.212,50.458,3519",1
1759056367.8612108,"0.972,-0.048,0.296,3.409,4557.496,4556.800,89.942,-0.212,50.347,846",1
1759056367.8832068,"0.980,-0.044,0.296,2.852,4556.730,4555.756,89.942,-0.214,50.208,1833",1
1759056367.906208,"0.980,-0.044,0.296,2.226,4557.217,4556.244,89.940,-0.216,50.208,3918",1
1759056367.928207,"0.988,-0.048,0.304,1.530,4557.705,4556.383,89.940,-0.216,50.430,1722",1
1759056367.9502068,"1.004,-0.044,0.312,1.461,4556.452,4555.965,89.938,-0.219,50.569,878",1
1759056367.9722066,"1.004,-0.044,0.312,1.043,4556.383,4555.548,89.938,-0.219,50.569,3544",1
1759056367.9942067,"0.996,-0.048,0.316,0.835,4555.270,4554.713,89.938,-0.218,50.569,2925",1
1759056368.01774,"0.996,-0.048,0.316,0.209,4555.409,4555.061,89.940,-0.217,50.569,637",1
1759056368.0412643,"0.992,-0.052,0.304,0.000,4555.130,4555.409,89.940,-0.217,50.569,2474",1
1759056368.0652647,"1.004,-0.064,0.288,0.626,4555.270,4556.730,89.944,-0.220,50.569,3839",1
1759056368.0892608,"1.004,-0.064,0.288,1.113,4556.104,0.348,89.944,-0.220,50.569,1195",1
1759056368.11226,"1.012,-0.076,0.268,0.765,4555.548,1.809,89.948,-0.221,50.569,1311",1
1759056368.1352603,"1.012,-0.076,0.268,0.417,4555.896,4.174,89.953,-0.221,50.569,3919",1
1759056368.1582596,"1.012,-0.052,0.244,0.348,4556.661,6.678,89.953,-0.221,50.569,2328",1
1759056368.1822739,"0.996,-0.044,0.236,0.974,4557.078,8.417,89.955,-0.218,50.569,680",1
1759056368.204272,"0.996,-0.044,0.236,1.600,4556.591,9.600,89.955,-0.218,50.569,3112",1
1759056368.226307,"0.976,-0.044,0.240,1.809,4555.826,10.713,89.954,-0.213,50.569,3452",1
1759056368.2483072,"0.976,-0.044,0.240,0.974,4555.548,11.409,89.950,-0.209,50.569,763",1
1759056368.271306,"0.956,-0.028,0.260,0.000,4555.130,11.757,89.950,-0.209,50.569,1868",1
1759056368.2943106,"0.952,-0.008,0.272,4558.122,4554.922,11.409,89.947,-0.208,50.569,3980",1
1759056368.3163054,"0.952,-0.008,0.272,4557.078,4554.783,11.200,89.947,-0.208,50.569,1659",1
1759056368.3383176,"0.956,0.004,0.292,4556.313,4554.991,11.409,0.785,-73.019,50.569,894",1
1759056368.3608375,"0.956,0.004,0.292,4555.339,4555.061,11.409,89.944,-0.206,50.290,3655",1
1759056368.3833537,"0.944,-0.004,0.288,4554.713,4555.548,11.130,89.944,-0.206,50.096,2873",1
1759056368.4053564,"0.940,-0.020,0.284,4554.365,4555.756,10.574,89.945,-0.205,50.096,621",1
1759056368.427351,"0.940,-0.020,0.284,4554.435,4555.965,10.087,89.945,-0.205,50.013,2589",1
1759056368.4503536,"0.960,-0.044,0.292,4554.783,4556.244,9.809,89.943,-0.210,49.791,3848",1
1759056368.4723544,"0.960,-0.044,0.292,4555.756,4557.496,9.670,89.943,-0.213,49.904,1098",1
1759056368.4943635,"0.972,-0.056,0.292,4556.522,4558.470,9.183,89.943,-0.213,50.153,1367",1
1759056368.516361,"0.972,-0.056,0.292,4557.217,0.696,8.626,89.945,-0.214,49.901,3998",1
1759056368.5383704,"0.980,-0.076,0.280,4558.261,1.530,8.209,89.945,-0.214,49.599,2189",1
1759056368.56037,"0.992,-0.076,0.276,4558.748,1.739,7.513,89.946,-0.217,49.626,588",1
1759056368.5823727,"0.992,-0.076,0.276,0.139,1.878,6.817,89.945,-0.215,49.682,3134",1
1759056368.604372,"0.984,-0.080,0.284,0.557,2.226,6.470,89.945,-0.215,49.655,3359",1
1759056368.6263702,"0.984,-0.080,0.284,0.835,1.809,5.635,89.945,-0.217,49.544,650",1
1759056368.6484056,"0.992,-0.088,0.280,0.765,1.252,4.800,89.945,-0.217,49.461,1898",1
1759056368.6704087,"0.988,-0.068,0.288,1.043,1.113,3.757,89.944,-0.216,49.267,3992",1
