Time,ax,ay,az,gx,gy ,gz ,r ,p,y,manual,heart
1536,0.968,0.1,0.28,-1.81,-1.18,4.38,-72.931,19.655,38.949,1,230
1556,0.968,0.108,0.28,-3.69,-0.07,5.22,-72.78,21.094,38.949,1,194
1577,0.968,0.088,0.284,-3.2,-0.07,5.22,-72.853,16.261,38.949,1,177
1598,0.96,0.088,0.288,-1.67,-0.42,4.73,-73.421,16.391,38.949,1,225
1618,0.944,0.092,0.272,-0.42,-0.63,4.17,-72.592,19.655,38.682,1,304
1640,0.944,0.1,0.276,-0.21,-0.56,3.34,-72.731,19.918,38.39,1,348
1660,0.956,0.092,0.276,-0.07,-0.28,2.43,-73.079,18.436,38.402,1,360
1681,0.952,0.088,0.272,0.28,-0.42,1.74,-73.291,17.929,38.375,1,362
1702,0.956,0.104,0.28,-0.14,0.21,1.25,-72.655,20.378,38.417,1,276
1723,0.952,0.104,0.272,-1.04,0.7,1.11,-72.997,20.926,38.417,1,277
1743,0.96,0.096,0.272,0.77,0.63,0.83,-73.282,19.441,38.417,1,254
1765,0.976,0.096,0.276,0.83,-0.14,-0.07,-72.864,19.655,38.417,1,79
1785,0.96,0.112,0.268,2.23,0.35,1.04,-75.35,23.684,38.417,1,215
1806,0.956,0.1,0.236,1.11,-0.56,2.09,-72.026,15.643,38.274,1,307
1827,0.956,0.092,0.264,0.28,0.49,0.28,-73.704,19.214,38.432,1,347
1848,0.952,0.116,0.252,-2.16,1.81,1.74,-73.759,24.719,38.482,1,385
1868,0.956,0.096,0.264,1.67,0.07,1.46,-73.63,19.985,38.395,1,401
1890,0.968,0.092,0.252,3.83,0.21,0.9,-74.515,20.058,38.381,1,325
1910,0.98,0.104,0.26,1.95,1.25,1.67,-74.059,21.803,38.381,1,293
1931,0.972,0.108,0.264,1.67,1.32,1.81,-73.152,23.406,38.381,1,277
1951,0.968,0.116,0.264,0.21,1.6,1.6,-73.487,24.046,38.381,1,265
1973,0.964,0.116,0.26,0.7,1.32,1.53,-73.725,22.559,38.381,1,251
1993,0.952,0.108,0.26,0.14,1.11,1.6,-73.531,22.559,38.41,1,311
2014,0.952,0.112,0.252,0.63,0.35,1.53,-73.851,23.964,38.716,1,330
2035,0.96,0.104,0.26,0.7,0.35,1.67,-73.744,21.803,38.712,1,350
2056,0.964,0.108,0.252,0.77,0.35,1.39,-74.129,23.2,38.546,1,361
2076,0.976,0.116,0.272,-0.9,2.16,1.25,-73.15,23.099,38.615,1,293
2098,0.968,0.116,0.252,-1.46,1.81,1.81,-74.014,24.719,38.615,1,250
2118,0.964,0.112,0.268,-0.7,1.46,1.74,-73.99,22.875,38.615,1,226
2139,0.968,0.112,0.252,0.14,1.6,1.88,-73.743,24.046,38.615,1,208
2160,0.976,0.116,0.256,-1.11,2.78,1.88,-73.367,25.161,38.615,1,198
2181,0.96,0.104,0.264,-0.28,3.13,1.67,-73.539,21.503,38.709,1,288
2201,0.96,0.1,0.26,0.9,2.99,1.39,-73.824,21.039,38.878,1,330
2223,0.956,0.104,0.264,0.97,2.78,1.39,-73.474,21.503,38.589,1,361
2243,0.964,0.092,0.252,1.95,3.76,3.69,-74.454,20.058,38.849,1,378
2264,0.96,0.104,0.272,3.48,1.53,2.3,-73.131,20.926,38.746,1,315
2285,0.952,0.12,0.272,1.39,2.78,3.13,-73.595,25.117,38.689,1,260
2306,0.96,0.12,0.264,0.97,2.23,2.78,-72.84,24.831,38.689,1,232
2326,0.96,0.12,0.264,2.23,1.39,2.5,-73.51,23.307,38.689,1,316
2348,0.964,0.12,0.272,3.41,1.25,2.37,-72.866,23.808,38.689,1,152
2368,0.96,0.108,0.272,2.09,1.04,2.64,-73.051,21.658,38.689,1,270
2388,0.952,0.108,0.228,4.24,0,2.78,-75.163,25.348,38.929,1,341
2410,0.948,0.096,0.304,3.83,-0.07,2.5,-71.418,17.527,38.99,1,387
2430,0.944,0.116,0.256,-2.3,0.77,3.06,-73.426,24.378,38.922,1,407
2451,0.952,0.124,0.264,-0.07,-0.07,3.48,-72.972,25.161,38.816,1,375
2471,0.956,0.108,0.264,4.59,-0.97,2.99,-73.595,25.117,38.767,1,315
2493,0.98,0.12,0.256,0.14,1.25,3.62,-72.497,26.567,38.767,1,294
2513,0.96,0.12,0.264,0.77,1.39,3.13,-73.064,24.123,38.767,1,289
2534,0.972,0.128,0.26,0,1.11,3.27,-73.404,26.213,38.767,1,283
2555,0.96,0.112,0.256,1.67,0.28,2.71,-73.777,23.631,38.767,1,341
2576,0.952,0.108,0.252,0.63,0.63,2.71,-73.94,23.2,38.732,1,381
2596,0.948,0.112,0.256,-0.42,0.83,2.85,-73.582,23.631,38.947,1,392
2618,0.956,0.12,0.256,0.21,0.83,3.27,-73.53,25.117,38.903,1,407
2638,0.96,0.104,0.252,1.67,0.35,2.85,-74.609,25.798,38.976,1,387
2659,0.976,0.12,0.28,-0.56,1.25,2.64,-72.17,20.986,38.832,1,304
2680,0.96,0.12,0.248,0.14,0.97,3.41,-73.368,27.648,38.832,1,271
2701,0.96,0.108,0.28,1.25,-0.42,3.34,-72.646,21.094,38.832,1,248
2721,0.988,0.112,0.26,0.63,0.49,4.59,-74.017,23.307,38.832,1,237
2743,0.956,0.112,0.252,0.83,0.35,3.76,-73.915,23.964,38.832,1,275
2763,0.956,0.108,0.248,0.97,-0.28,3.27,-74.207,23.534,38.836,1,335
2784,0.956,0.092,0.248,2.43,-0.97,2.37,-74.539,20.355,38.98,1,370
2805,0.944,0.112,0.248,1.18,-0.63,2.23,-73.563,24.719,38.945,1,404
2826,0.952,0.104,0.248,1.74,-0.56,2.64,-73.679,21.803,38.7,1,402
2846,0.96,0.108,0.26,2.71,-0.28,2.09,-74.003,23.2,38.96,1,310
2868,0.968,0.12,0.256,1.25,1.04,2.57,-73.724,25.117,38.96,1,272
2888,0.968,0.108,0.248,1.95,0.21,3.13,-74.393,23.534,38.96,1,256
2909,0.952,0.116,0.252,0.97,-0.42,2.09,-73.759,24.719,38.96,1,312
2930,0.94,0.116,0.244,1.74,0.14,3.06,-73.97,25.429,38.96,1,204
2951,0.96,0.112,0.26,2.64,0.83,2.78,-73.575,23.307,38.772,1,344
2971,0.956,0.124,0.208,-0.28,-0.07,3.69,-75.791,30.804,38.987,0,384
2993,0.968,0.092,0.26,-0.21,0.7,2.64,-74.162,25.429,38.808,0,398
3013,0.952,0.116,0.248,-3.83,0.42,4.24,-74.117,24.306,38.807,0,413
3034,0.956,0.112,0.248,-0.28,-1.04,3.9,-74.242,24.306,38.844,0,326
3055,0.968,0.112,0.244,-0.83,1.25,3.62,-74.504,24.658,38.844,0,288
3076,0.98,0.116,0.252,-2.57,2.43,4.66,-74.2,24.719,38.844,0,269
3096,0.984,0.116,0.256,-2.78,2.85,3.9,-74.065,24.378,38.844,0,257
3118,0.976,0.12,0.248,-2.64,2.37,2.85,-74.242,25.823,38.844,0,260
3138,0.952,0.108,0.244,-0.83,2.43,2.57,-74.348,23.877,38.731,0,340
3159,0.944,0.104,0.252,-0.35,2.37,2.64,-74.336,21.163,38.88,0,365
3180,0.948,0.112,0.256,-0.35,2.16,2.71,-74.003,23.2,38.644,0,372
3201,0.96,0.104,0.244,0.77,2.23,2.16,-74.937,24.592,38.694,0,381
3221,0.968,0.104,0.272,0.14,3.2,1.81,-73.262,20.926,38.501,0,302
3243,0.952,0.116,0.232,-1.32,2.37,1.39,-74.765,26.567,38.522,0,261
3263,0.96,0.104,0.284,2.16,0.21,1.74,-72.519,20.114,38.522,0,238
3283,0.98,0.108,0.24,2.23,0,1.88,-74.973,24.23,38.522,0,220
3304,0.988,0.124,0.26,1.53,1.74,1.95,-73.751,25.499,38.522,0,219
3325,0.972,0.108,0.248,1.25,1.6,1.67,-74.454,23.534,38.629,0,310
3346,0.976,0.104,0.26,1.39,2.09,1.32,-74.454,23.534,38.828,0,351
3366,0.96,0.108,0.248,0.35,2.3,1.81,-73.575,23.307,38.692,0,383
3388,0.96,0.116,0.248,1.32,1.6,1.88,-73.94,23.2,38.635,0,398
3408,0.964,0.128,0.256,1.39,1.32,2.43,-73.469,26.567,38.71,0,331
3429,0.968,0.12,0.256,0.56,2.37,2.64,-73.724,25.117,38.83,0,282
3450,0.956,0.12,0.256,-0.21,2.78,1.88,-73.53,25.117,38.83,0,263
3471,0.956,0.116,0.264,-0.21,2.78,2.16,-73.22,23.722,38.83,0,312
3491,0.956,0.124,0.264,0.42,2.5,2.37,-73.039,25.161,38.83,0,157
3513,0.96,0.12,0.264,0.97,1.53,2.16,-74.088,25.069,38.83,0,318
3533,0.952,0.124,0.216,-0.28,0.97,3.13,-72.998,24.123,38.787,0,367
3554,0.964,0.096,0.288,0.77,1.39,1.6,-74.5,20.856,39.008,0,394
3575,0.952,0.124,0.248,-3.13,2.78,3.41,-73.767,26.567,38.886,0,415
3596,0.964,0.12,0.264,-1.11,0.83,4.1,-73.263,24.446,38.966,0,379
3616,0.98,0.116,0.252,2.85,0.14,3.69,-74.2,24.719,38.707,0,318
3638,0.976,0.124,0.256,0.97,1.74,4.45,-73.757,25.846,38.707,0,293
3658,0.98,0.124,0.26,0.35,1.81,4.24,-73.626,25.499,38.707,0,280
3679,0.972,0.12,0.256,0.07,1.04,4.17,-73.787,25.117,38.707,0,274
3700,0.96,0.112,0.24,0.77,0.56,3.62,-74.319,24.658,38.707,0,335
3721,0.956,0.108,0.244,0.28,0.9,3.2,-73.735,22.875,38.629,0,362
3741,0.944,0.116,0.248,-0.9,1.53,3.76,-73.623,24.378,38.616,0,382
3763,0.968,0.104,0.228,1.04,0.83,3.97,-75.491,24.521,38.795,0,390
3783,0.972,0.112,0.276,-1.11,1.67,3.83,-72.968,22.089,38.988,0,374
3804,0.968,0.116,0.236,-1.81,2.02,3.97,-74.807,26.177,38.708,0,300
3825,0.972,0.108,0.268,0.14,0.35,3.69,-73.45,21.95,38.708,0,271
3846,0.968,0.116,0.248,0.35,0,3.97,-74.212,25.069,38.708,0,251
3866,0.984,0.124,0.256,-0.42,0.63,3.97,-73.735,23.722,38.708,0,238
3888,0.976,0.112,0.252,0.42,0.97,3.55,-74.541,21.646,38.708,0,294
3908,0.972,0.104,0.252,-0.07,1.11,3.27,-74.56,20.856,38.473,0,351
3929,0.96,0.104,0.252,-0.28,0.35,3.27,-74.152,22.428,38.466,0,385
3950,0.956,0.096,0.252,-0.07,-0.49,3.62,-74.253,20.856,38.487,0,414
3971,0.96,0.1,0.248,1.25,-1.11,3.69,-74.441,21.962,38.43,0,409
3991,0.964,0.112,0.248,1.53,-1.18,3.69,-74.242,24.306,38.451,0,317
4013,0.976,0.108,0.248,0.97,-0.21,3.27,-74.515,23.534,38.451,0,280
4033,0.968,0.112,0.248,-1.32,1.18,3.41,-74.15,25.069,38.451,0,283
4054,0.968,0.104,0.252,-0.56,0.83,3.06,-74.011,22.111,38.451,0,266
4075,0.968,0.1,0.256,-0.07,0.77,2.78,-73.81,20.748,38.451,0,171
4096,0.968,0.1,0.26,2.43,0.63,2.02,-75.582,23.684,38.595,0,351
4116,0.96,0.108,0.256,-0.21,0.35,2.85,-73.864,22.875,38.544,0,391
4137,0.964,0.088,0.248,0.56,0.49,1.39,-74.737,19.538,38.602,0,415
4158,0.956,0.12,0.22,-4.38,3.9,2.78,-75.317,28.613,38.465,0,428
4178,0.968,0.108,0.256,0.9,0.07,2.5,-73.99,22.875,38.444,0,344
4199,0.972,0.1,0.244,2.16,0,2.02,-74.827,22.287,38.444,0,307
4220,0.98,0.112,0.256,0.63,1.88,2.3,-73.931,24.046,38.444,0,293
4241,0.984,0.116,0.256,-0.14,2.23,1.95,-74.547,24.306,38.444,0,287
4261,0.98,0.108,0.248,0.56,1.39,1.88,-74.242,24.306,38.444,0,297
4283,0.956,0.112,0.244,0.9,0.97,2.02,-74.319,24.658,38.43,0,369
4303,0.96,0.112,0.244,0.14,1.11,2.3,-74.381,24.658,38.481,0,384
4324,0.96,0.104,0.256,-0.14,1.53,2.16,-73.948,22.111,38.529,0,390
4345,0.972,0.108,0.236,0.56,2.02,2.3,-75.056,24.592,38.637,0,399
4366,0.98,0.112,0.26,-0.83,4.17,2.02,-73.893,23.307,38.699,0,323
4386,0.964,0.116,0.236,-1.39,3.9,2.57,-74.129,23.2,38.699,0,285
4408,0.968,0.104,0.252,-0.28,3.2,2.57,-74.393,23.534,38.699,0,262
4428,0.968,0.112,0.24,-0.77,2.78,2.57,-73.923,27.302,38.699,0,248
4449,0.972,0.112,0.256,-1.39,3.2,2.71,-73.967,23.631,38.699,0,239
4470,0.972,0.1,0.252,-1.25,3.83,3.06,-74.42,21.646,38.578,0,330
4491,0.968,0.1,0.248,-0.28,3.69,2.92,-74.563,21.962,38.544,0,367
4511,0.964,0.104,0.252,-0.21,3.27,2.85,-74.215,22.428,38.607,0,392
4533,0.956,0.108,0.248,0.49,2.71,3.13,-74.207,23.534,38.552,0,403
4553,0.968,0.116,0.248,1.74,2.16,3.13,-74.212,25.069,38.602,0,350
4574,0.976,0.112,0.256,0.9,2.09,3.13,-74.076,24.719,38.681,0,296
4595,0.964,0.112,0.252,0.42,2.85,2.99,-73.951,24.719,38.681,0,262
4616,0.968,0.108,0.248,0.63,2.57,3.83,-73.99,22.875,38.681,0,248
4636,0.964,0.116,0.256,-0.14,2.37,4.31,-73.751,24.378,38.681,0,292
4658,0.976,0.104,0.252,0.56,2.57,2.64,-74.399,22.428,38.681,0,288
4678,0.956,0.104,0.256,0.63,2.57,3.27,-73.884,22.111,38.644,0,277
4699,0.956,0.1,0.224,2.71,2.78,2.5,-75.614,24.059,38.516,0,396
4720,0.964,0.108,0.256,-1.74,2.16,3.27,-73.927,22.875,38.488,0,424
4741,0.972,0.092,0.268,0.14,2.43,2.37,-74.18,24.306,38.629,0,380
4761,0.94,0.128,0.24,-2.43,4.66,4.52,-73.003,27.982,38.551,0,324
4783,0.976,0.116,0.26,1.81,1.95,2.43,-74.1,22.559,38.551,0,298
4803,0.976,0.1,0.256,2.16,2.99,2.85,-74.278,21.338,38.551,0,286
4824,0.984,0.108,0.264,0.97,4.52,2.71,-73.84,22.251,38.551,0,287
4845,0.968,0.104,0.26,0,4.38,2.57,-73.871,21.803,38.551,0,370
4866,0.956,0.108,0.256,0.21,3.62,2.71,-73.8,22.875,38.559,0,418
4886,0.944,0.104,0.252,2.02,1.6,3.76,-73.897,22.428,38.666,0,430
4908,0.94,0.096,0.26,1.18,2.43,3.27,-73.577,20.267,38.824,0,423
4928,0.976,0.108,0.268,-0.56,2.78,2.16,-73.567,22.99,38.711,0,380
4948,0.96,0.108,0.26,1.95,1.6,3.13,-72.78,21.094,38.717,0,302
4970,0.968,0.116,0.272,-1.39,2.78,3.27,-73.967,23.631,38.717,0,272
4990,0.964,0.116,0.272,-1.32,0.49,3.69,-72.952,23.099,38.717,0,252
5011,0.964,0.108,0.26,2.43,-1.04,3.2,-73.725,22.559,38.717,0,240
5032,0.968,0.104,0.264,0.63,-0.49,2.71,-73.668,21.503,38.717,0,297
5053,0.972,0.104,0.256,-0.83,0.9,2.57,-74.136,22.111,38.589,0,347
5073,0.964,0.1,0.264,0.63,1.32,2.37,-73.683,20.748,38.474,0,375
5095,0.972,0.092,0.256,0.7,1.32,2.16,-74.297,21.646,38.654,0,395
5115,0.96,0.1,0.256,-0.07,1.95,2.43,-73.575,23.307,38.681,0,388
5136,0.952,0.104,0.256,0.35,1.74,2.23,-73.915,23.964,38.811,0,301
5157,0.956,0.108,0.26,0.97,1.6,2.92,-73.596,22.559,38.811,0,283
5178,0.96,0.108,0.264,1.46,0.9,2.64,-73.458,22.251,38.811,0,255
5198,0.964,0.12,0.26,0.49,1.88,2.78,-73.461,24.777,38.811,0,236
5220,0.96,0.108,0.256,-0.56,1.74,2.99,-73.864,22.875,38.811,0,276
5240,0.96,0.1,0.252,0.07,0.56,3.34,-74.235,21.646,38.769,0,405
5261,0.956,0.104,0.264,0.97,-0.07,3.34,-73.838,21.338,38.745,0,339
5282,0.952,0.1,0.268,0.77,-0.28,3.55,-73.249,21.658,38.675,0,313
5303,0.98,0.1,0.252,4.52,-0.21,2.64,-76.365,27.85,38.452,0,413
5323,0.976,0.116,0.244,-1.04,-0.35,3.62,-73.135,19.918,38.546,0,332
5345,0.968,0.096,0.272,-0.28,0.21,2.43,-73.412,19.441,38.546,0,298
5365,0.952,0.136,0.248,-2.43,2.3,3.55,-73.459,28.742,38.546,0,278
5386,0.968,0.108,0.26,3.2,-0.7,3.06,-73.789,22.559,38.546,0,269
5407,0.972,0.096,0.252,3.76,0.07,2.16,-74.5,20.856,38.546,0,295
5428,0.964,0.104,0.256,0.56,2.3,2.78,-74.011,22.111,38.645,0,385
5448,0.956,0.104,0.256,1.67,2.02,2.3,-74.479,22.753,38.479,0,433
5470,0.976,0.108,0.256,1.18,1.53,2.09,-74.228,23.964,38.616,0,457
5490,0.96,0.108,0.252,2.3,0.77,2.99,-73.902,21.338,38.696,0,454
5511,0.964,0.108,0.26,2.37,0.63,2.85,-73.725,22.559,38.652,0,341
5531,0.968,0.112,0.264,1.11,1.46,2.78,-73.503,22.99,38.652,0,279
5553,0.976,0.112,0.264,1.39,1.67,2.64,-73.631,22.99,38.652,0,248
5573,0.972,0.112,0.236,0.49,3.27,2.85,-74.963,25.39,38.652,0,236
5595,0.964,0.12,0.276,0.7,1.39,3.55,-72.667,23.5,38.652,0,238
5615,0.956,0.1,0.252,2.09,-0.07,3.9,-74.285,23.877,38.602,0,327
5636,0.948,0.108,0.252,0.97,0.35,3.62,-74.515,23.534,38.471,0,365
5656,0.984,0.108,0.256,-1.53,1.32,3.34,-74.259,22.111,38.601,0,384
5678,0.96,0.096,0.26,0.97,0.7,3.2,-73.902,20.267,38.429,0,400
5698,0.972,0.112,0.26,-0.21,0.42,3.62,-73.767,23.307,38.646,0,327
5719,0.964,0.112,0.26,-1.6,0.7,3.69,-73.64,23.307,38.696,0,284
5740,0.96,0.112,0.256,1.18,-1.04,4.31,-73.777,23.631,38.696,0,257
5761,0.968,0.104,0.26,1.04,-0.56,4.31,-73.871,21.803,38.696,0,253
5781,0.984,0.108,0.256,0.77,-0.14,3.27,-74.238,22.875,38.696,0,235
5803,0.956,0.1,0.26,0.35,0.14,3.06,-74.441,21.962,38.688,0,318
5823,0.964,0.104,0.24,0,0.9,3.06,-74.849,21.478,38.379,0,356
5843,0.972,0.096,0.248,0.42,0.83,2.64,-74.583,21.163,38.421,0,491
5865,0.96,0.096,0.252,1.6,0.35,2.43,-74.315,20.856,38.479,0,332
5885,0.964,0.108,0.26,-0.21,-0.07,2.99,-73.725,22.559,38.351,0,289
5906,0.964,0.108,0.212,2.09,0.14,3.13,-76.142,26.998,38.415,0,304
5927,0.98,0.096,0.256,0.14,-0.07,3.62,-74.417,20.558,38.415,0,280
5948,0.968,0.1,0.264,-1.11,0.63,2.85,-73.747,20.748,38.415,0,264
5968,0.956,0.128,0.24,-0.83,1.04,3.97,-73.566,25.846,38.415,0,258
5990,0.964,0.104,0.252,2.57,-1.39,3.48,-74.515,20.058,38.415,0,342
6010,0.972,0.092,0.252,4.03,-1.67,2.09,-74.696,20.058,38.436,0,393
6031,0.956,0.108,0.248,1.74,0.49,3.2,-74.207,23.534,38.359,0,437
6052,0.98,0.096,0.24,2.43,0.42,2.37,-75.23,21.803,38.492,0,468
6073,0.984,0.112,0.248,2.09,0.77,2.37,-74.547,24.306,38.436,0,433
6093,0.964,0.116,0.248,1.95,1.11,2.99,-74.15,25.069,38.223,0,340
6115,0.96,0.112,0.252,1.88,0.97,2.85,-73.978,23.964,38.223,0,276
6135,0.972,0.112,0.248,1.32,2.23,2.71,-74.366,24.306,38.223,0,238
6156,0.972,0.116,0.26,0.63,2.23,3.06,-73.59,24.777,38.223,0,223
6177,0.968,0.104,0.236,1.53,3.41,3.06,-75.375,24.521,38.223,0,294
6198,0.964,0.096,0.252,0.7,2.37,3.34,-74.155,21.338,38.4,0,346
6218,0.956,0.1,0.248,0.97,1.74,2.78,-74.379,21.962,38.429,0,377
6240,0.956,0.108,0.248,1.46,0.9,2.92,-74.207,23.534,38.351,0,398
6260,0.976,0.108,0.252,0.77,1.53,3.34,-74.315,23.2,38.486,0,377
6281,0.992,0.116,0.252,-1.32,2.5,2.99,-74.382,24.719,38.612,0,300
6302,0.976,0.104,0.252,0.49,1.67,2.92,-74.399,22.428,38.612,0,266
6323,0.968,0.108,0.248,0.7,1.46,3.41,-74.212,25.069,38.612,0,249
