Time,ax,ay,az,gx,gy ,gz ,r ,p,y,manual,heart
98,0.956,0.228,0.216,-3.97,3.83,5.36,-71.819,46.552,42.708,0,170
118,0.96,0.232,0.18,-1.32,1.81,6.89,-72.998,52.197,42.708,0,166
139,0.976,0.228,0.212,1.88,0.42,6.19,-72.313,47.086,42.708,0,165
160,0.98,0.22,0.192,1.95,1.04,5.29,-73.414,48.892,42.708,0,171
181,0.984,0.224,0.212,1.95,2.16,5.36,-72.603,46.58,42.708,0,186
201,0.98,0.22,0.196,1.04,3.13,6.19,-73.272,48.305,42.65,0,237
223,0.972,0.228,0.2,0.83,2.85,5.7,-73.046,48.818,42.529,0,254
243,0.964,0.228,0.204,0.97,2.5,5.29,-72.77,48.243,42.688,0,253
264,0.968,0.224,0.204,0.56,2.43,5.01,-72.626,47.679,42.493,0,234
284,0.984,0.232,0.204,1.25,2.5,4.66,-72.575,48.678,42.486,0,193
306,0.98,0.236,0.22,-1.04,2.3,4.87,-71.783,47.013,42.428,0,177
326,0.968,0.236,0.192,-1.18,2.99,3.62,-72.558,50.873,42.428,0,170
347,0.964,0.236,0.208,-0.14,2.3,3.9,-71.932,48.612,42.428,0,175
367,0.972,0.236,0.204,-1.32,1.46,3.9,-72.212,49.163,42.428,0,179
389,0.964,0.224,0.204,-1.53,0.97,3.83,-72.558,47.679,42.428,0,219
409,0.972,0.216,0.208,-1.39,0.9,3.62,-72.914,48.818,42.281,0,237
430,0.972,0.22,0.204,-1.88,1.53,3.27,-72.918,47.165,42.375,0,248
451,0.972,0.216,0.196,-1.32,1.25,3.27,-73.08,45.549,42.384,0,256
472,0.972,0.22,0.208,-0.49,0.9,3.48,-72.704,46.609,42.154,0,244
492,0.976,0.22,0.2,0,0.63,3.55,-73.063,47.73,42.258,0,233
513,0.976,0.212,0.204,0.63,0.77,3.9,-73.23,46.105,42.258,0,214
534,0.98,0.216,0.196,0.28,1.46,3.9,-73.431,47.783,42.258,0,213
555,0.976,0.22,0.196,-0.97,1.95,3.9,-73.207,48.305,42.258,0,220
575,0.968,0.212,0.196,-0.14,1.32,3.48,-73.397,47.249,42.258,0,388
595,0.968,0.216,0.204,-1.04,1.6,3.13,-72.997,47.73,42.191,0,162
617,0.968,0.224,0.212,-2.64,0.9,3.69,-72.548,47.125,42.165,0,284
637,0.968,0.208,0.172,-0.63,-0.07,3.62,-74.185,53.977,42.241,0,297
658,0.984,0.216,0.192,-3.27,3.2,3.55,-73.638,48.37,42.108,0,297
678,0.968,0.22,0.208,-4.38,3.55,4.45,-72.637,46.609,42.248,0,278
700,0.972,0.236,0.192,-0.28,1.39,4.31,-72.625,50.873,42.248,0,276
720,0.98,0.22,0.204,1.18,1.32,2.78,-72.983,47.165,42.248,0,275
741,0.98,0.212,0.216,1.18,1.6,2.23,-72.843,44.468,42.248,0,281
762,0.976,0.216,0.204,0.9,2.16,2.16,-73.075,46.64,42.248,0,320
783,0.972,0.216,0.208,-0.07,2.43,2.5,-72.793,46.084,41.955,0,352
803,0.972,0.208,0.208,1.11,1.11,2.37,-72.949,45.549,41.866,0,359
824,0.968,0.208,0.208,1.04,0.83,2.78,-73.102,45.003,42.169,0,342
845,0.972,0.216,0.2,0.83,1.11,2.5,-73.156,47.206,41.994,0,316
866,0.976,0.208,0.192,2.64,2.16,2.43,-73.832,47.294,42.079,0,272
886,0.98,0.228,0.24,0.28,1.81,3.13,-71.341,43.534,42.079,0,263
907,0.972,0.22,0.196,0.28,2.92,2.43,-73.142,48.305,42.079,0,260
928,0.976,0.216,0.212,1.67,1.95,2.78,-72.777,45.539,42.079,0,264
