Time,ax,ay,az,gx,gy ,gz ,r ,p,y,manual,heart
1456,1.044,0.004,-0.148,4.66,6.82,-18.78,-81.935,178.465,30.755,0,403
1477,1.044,0.028,-0.156,3.13,8.7,-17.18,-81.374,169.837,30.921,0,387
1498,1.04,0.032,-0.152,-1.67,10.3,-17.11,-81.511,168.124,30.921,0,382
1519,1.032,0.04,-0.14,-4.66,10.5,-18.5,-81.975,164.067,30.921,0,368
1540,1.036,0.04,-0.164,-5.7,11.13,-19.48,-80.751,166.305,30.921,0,356
1561,1.04,0.048,-0.156,-11.41,12.24,-20.94,-80.102,161.978,30.921,0,365
1582,1.028,0.06,-0.152,-16.83,11.83,-21.43,-82.178,158.51,32.494,1,385
1603,1.036,0.044,-0.16,-19.34,12.03,-21.29,-80.906,164.636,33.105,1,407
1624,1.036,0.06,-0.164,-25.32,12.1,-22.26,-80.438,159.917,33.358,1,425
1645,1.044,0.068,-0.148,-30.05,13.01,-23.44,-81.139,155.335,33.948,1,443
1667,1.04,0.056,-0.128,-30.26,11.97,-25.53,-82.355,156.382,33.961,1,434
1687,1.044,0.056,-0.12,-30.05,11.48,-26.5,-82.777,154.995,33.961,1,426
1709,1.04,0.052,-0.104,-27.55,11.62,-24.21,-83.231,150.957,33.961,1,430
1729,1.044,0.072,-0.112,-27.97,12.1,-22.68,-83.367,141.643,33.961,1,503
1751,1.036,0.088,-0.112,-27.76,11.41,-22.05,-82.178,141.853,33.961,1,317
1771,1.044,0.104,-0.076,-24.97,8.9,-21.63,-82.972,126.167,35.704,1,334
1793,1.04,0.112,-0.104,-23.44,9.46,-22.33,-81.646,132.889,36.534,1,398
1813,1.032,0.104,-0.088,-21.63,9.18,-23.17,-82.486,130.246,36.952,1,402
1835,1.024,0.104,-0.06,-22.19,7.93,-22.54,-83.319,119.99,37.348,1,407
1856,1.028,0.128,-0.036,-26.85,8.9,-21.43,-81.703,120.709,37.578,1,390
1876,1.024,0.12,-0.06,-20.73,8.9,-19.34,-82.574,107.362,37.578,1,416
1898,1.028,0.12,-0.048,-21.5,12.87,-15.86,-82.226,109.991,37.578,1,435
1918,1.028,0.112,-0.032,-19.62,14.05,-10.23,-83.542,105.953,37.578,1,441
1940,1.016,0.116,-0.044,-17.81,12.59,-9.39,-83.044,110.78,37.578,1,450
1960,1.016,0.156,-0.024,-13.43,11.27,-8.42,-81.176,98.753,38.709,1,447
1982,1.024,0.172,0.004,-5.5,9.25,-8.49,-80.469,88.674,39.464,1,447
2002,1.032,0.196,0.008,-4.1,10.5,-5.15,-79.243,87.669,39.489,1,423
2023,1.036,0.216,0.032,-4.38,12.73,-4.45,-77.475,89.019,39.67,1,414
2044,1.028,0.248,-0.004,-5.84,11.9,-7.17,-76.325,87.236,39.773,1,390
2065,1.004,0.264,0,-5.63,11.62,-11.27,-75.273,90.007,39.773,1,366
2086,1.016,0.264,-0.008,-5.91,11.06,-11.62,-75.433,91.742,39.773,1,384
2107,1.008,0.252,0.004,-8,10.3,-10.23,-75.968,89.097,39.773,1,378
2127,1.008,0.236,-0.012,-11.76,9.6,-5.98,-76.812,92.918,39.773,1,392
2149,1,0.236,-0.016,-13.5,8.07,-5.5,-76.697,93.885,40.044,1,398
2169,0.988,0.244,-0.016,-14.26,4.94,-9.04,-76.105,93.759,40.956,1,400
2191,0.996,0.236,0,-13.77,2.99,-10.16,-76.344,90.946,41.237,1,415
2211,1.008,0.228,-0.008,-16.07,2.85,-9.46,-77.846,93.187,41.027,1,525
2232,1.012,0.212,-0.008,-17.04,1.74,-7.51,-77.99,90.007,41.172,1,250
2253,0.98,0.2,-0.02,-17.74,-4.31,-7.44,-78.415,95.718,41.172,1,448
2274,0.984,0.216,0.008,-19.41,-6.33,-7.17,-77.617,87.885,41.172,1,436
2295,0.988,0.232,-0.056,-20.45,-8.14,-5.43,-76.425,103.578,41.172,1,441
2316,1.012,0.292,0.02,-29.5,-8.77,-4.94,-73.875,86.088,41.172,1,442
2337,1.016,0.26,-0.024,-17.6,-12.73,-6.89,-75.593,95.281,41.258,1,454
2358,1.032,0.252,0.008,-18.99,-10.64,-7.65,-76.334,90.007,41.852,1,438
2378,1.032,0.244,0.004,-21.29,-9.53,-7.37,-76.101,86.373,41.993,1,442
2400,1.012,0.256,0.004,-23.58,-11.2,-6.89,-75.542,90.007,41.871,1,431
2420,1.012,0.268,0.004,-24.63,-12.52,-4.8,-75.171,89.151,41.892,1,411
2442,1.008,0.256,0.004,-22.68,-14.05,-1.32,-75.754,89.111,41.892,1,398
2462,0.992,0.244,0,-23.17,-16.28,-3.9,-76.187,90.007,41.892,1,360
2483,0.988,0.26,0.004,-21.22,-19.55,-4.17,-75.26,89.125,41.892,1,336
2504,1.004,0.26,-0.032,-22.33,-19.97,-2.5,-75.382,97.024,41.892,1,320
2525,0.996,0.26,-0.028,-22.05,-23.1,-3.48,-74.988,92.571,41.963,1,340
2546,1.004,0.268,-0.012,-24.07,-24.49,-2.57,-74.808,94.212,41.727,1,335
2567,0.992,0.272,-0.04,-23.72,-26.99,-2.37,-74.515,98.373,41.982,1,309
2588,1,0.284,-0.044,-23.58,-28.87,-1.04,-73.971,98.814,41.708,1,265
2609,0.984,0.312,-0.052,-27.48,-29.98,-1.25,-72.185,99.47,41.784,1,263
2630,0.98,0.32,-0.068,-28.94,-31.17,-1.74,-71.545,102.004,41.718,1,276
2651,0.972,0.336,-0.068,-29.77,-33.04,-2.71,-70.578,101.449,41.718,1,274
2672,0.992,0.34,-0.084,-32.77,-32.56,-1.67,-70.636,105.496,41.718,1,352
2693,0.984,0.34,-0.088,-27.97,-32.28,-6.26,-70.335,103.099,41.718,1,143
2714,1,0.348,-0.088,-28.8,-31.51,-2.99,-69.094,109.581,41.687,1,299
2735,1,0.352,-0.088,-24,-31.44,-3.2,-70.063,104.044,40.875,1,307
2756,0.996,0.388,-0.144,-32,-26.02,-3.34,-67.441,110.37,40.915,1,318
2777,0.972,0.364,-0.132,-31.65,-23.17,0.63,-68.285,109.941,40.672,1,327
2798,0.98,0.36,-0.128,-19.2,-25.74,1.53,-68.705,109.581,40.535,1,313
2819,1.028,0.392,-0.132,-20.38,-17.18,1.32,-68.087,108.618,40.546,1,299
2840,1.008,0.388,-0.144,-19.9,-13.98,3.41,-67.352,110.692,40.546,1,288
2862,1.004,0.384,-0.152,-18.71,-9.67,5.08,-68.023,110.564,40.546,1,316
2882,1.02,0.36,-0.132,-17.32,-5.63,6.33,-69.403,110.144,40.546,1,314
2903,1.008,0.344,-0.132,-12.38,-1.6,7.79,-69.926,111.001,40.531,1,321
2924,1.028,0.344,-0.108,-7.86,4.31,7.93,-70.678,107.438,39.792,1,308
2945,1.016,0.332,-0.092,-6.68,10.99,10.43,-71.274,105.496,39.617,1,295
2966,1.016,0.312,-0.104,-0.9,15.44,11.13,-72.069,108.443,39.543,1,290
2987,1.02,0.332,-0.124,0.42,16.49,12.94,-71.094,105.953,39.593,1,280
3008,1.024,0.336,-0.076,4.45,20.94,13.15,-71.413,106.322,39.551,1,283
3028,1.008,0.344,-0.1,4.24,20.8,14.4,-70.368,106.217,39.551,1,272
3050,1.012,0.356,-0.112,5.77,20.17,17.04,-69.762,107.472,39.551,1,273
3070,1,0.348,-0.116,4.17,19.34,15.79,-69.861,108.443,39.551,1,273
3092,0.972,0.328,-0.136,2.99,19.2,15.3,-69.938,112.529,39.551,1,290
3112,1.008,0.328,-0.1,2.57,18.85,13.57,-71.218,106.963,38.761,1,302
3134,1.008,0.312,-0.108,1.39,21.43,13.98,-71.869,109.102,38.439,1,353
3154,1,0.28,-0.108,3.48,20.17,15.03,-73.828,111.957,38.525,1,198
3176,0.996,0.256,-0.096,1.04,17.18,15.86,-74.964,106.302,38.363,1,319
3196,1.02,0.24,-0.056,7.51,15.58,16.83,-76.424,112.842,38.321,1,282
3218,1.04,0.272,-0.02,-2.16,20.03,21.84,-75.311,94.212,38.321,1,303
3238,1.008,0.212,-0.068,2.57,20.38,23.44,-77.551,107.792,38.321,1,311
3260,1,0.2,-0.072,8.97,17.32,22.82,-78.005,109.807,38.321,1,346
3280,1.012,0.188,-0.032,8.49,18.02,18.37,-79.334,99.667,38.321,1,388
3302,0.988,0.184,-0.092,7.1,19.27,21.84,-78.548,112.899,37.056,1,396
3322,0.956,0.184,-0.06,8.7,15.44,22.82,-78.584,106.935,36.962,1,399
3344,0.956,0.18,-0.06,3.55,16.83,21.29,-78.759,107.289,36.553,1,399
3364,0.948,0.172,-0.048,4.45,12.38,22.19,-79.338,105.601,36.55,1,370
3386,0.992,0.164,-0.06,3.55,9.81,20.73,-80.022,110.103,36.276,1,326
3406,0.992,0.168,-0.004,-1.81,8.42,19.62,-80.391,91.371,36.276,1,295
3428,1.004,0.136,-0.048,2.5,4.45,19.41,-81.832,109.448,36.276,1,282
3448,1.028,0.136,0,0.07,3.69,18.02,-82.47,90.007,36.276,0,280
3469,1.008,0.124,-0.06,0.9,4.59,18.71,-82.42,109.545,36.276,0,299
3490,0.996,0.14,-0.056,0.35,2.57,19.76,-82.808,110.144,35.105,0,299
3511,1.02,0.112,-0.028,3.2,0.21,14.75,-83.483,101.697,34.833,0,294
3532,1.036,0.1,-0.04,1.67,-1.74,14.05,-84.071,111.81,34.528,0,297
3553,1.028,0.096,-0.032,1.11,-1.81,13.7,-84.384,108.443,34.271,0,289
3574,0.988,0.108,-0.068,-0.77,0.14,12.24,-82.646,122.205,34.057,0,307
3595,0.964,0.108,-0.092,-1.04,0.14,8.97,-81.634,130.436,34.057,0,327
3615,0.964,0.084,-0.064,3.34,1.95,4.03,-83.755,127.313,34.057,0,179
3637,0.948,0.068,-0.088,5.5,2.5,2.16,-85.137,130.924,34.057,0,298
3657,0.928,0.044,-0.056,8.07,-7.37,2.23,-82.176,151.833,34.057,0,303
3679,1.016,0.096,-0.044,-17.53,13.43,-1.18,-83.442,82.411,33.594,0,306
3699,1.084,0.12,-0.004,-3.69,7.72,2.92,-83.686,91.916,33.61,0,326
3720,1.104,0.088,-0.008,10.71,9.53,-1.53,-85.43,95.201,33.742,0,334
3741,1.14,0.1,0.008,-5.22,15.58,-4.31,-84.977,85.432,33.729,0,339
3762,1.148,0.092,-0.016,-3.34,18.37,-0.21,-85.356,99.873,33.88,0,342
3783,1.128,0.136,0.016,0.49,21.22,3.34,-83.084,83.296,33.88,0,324
3804,1.12,0.14,0.028,-3.41,24.14,2.43,-83.035,84.812,33.88,0,324
3824,1.064,0.12,0.02,-2.02,19.9,4.94,-84.197,83.666,33.88,0,324
3846,1.048,0.096,0.016,4.8,16.77,7.51,-84.184,81.26,33.88,0,314
3866,1.02,0.108,0.008,7.17,14.82,8.07,-83.946,85.77,34.198,0,307
3888,1.016,0.12,0.008,8.63,15.65,5.57,-83.255,86.192,34.256,0,304
3908,1.016,0.116,0.004,6.05,16.63,6.19,-83.489,88.032,34.049,0,313
3929,1.012,0.104,0.004,4.1,17.39,6.12,-84.134,87.804,34.104,0,316
3950,1.02,0.108,0.008,6.26,15.51,5.57,-83.946,85.77,34.302,0,306
3971,1.02,0.124,0.028,5.91,12.94,5.22,-82.392,76.379,34.302,0,307
3992,1.024,0.128,0.036,5.77,12.1,5.01,-82.574,72.651,34.302,0,305
4013,1.024,0.132,0.04,3.76,12.1,6.05,-82.373,69.449,34.302,0,308
4033,1.016,0.12,0.04,2.3,11.62,6.47,-82.909,71.57,34.302,0,335
4055,1.012,0.116,0.052,3.97,9.25,6.89,-82.846,65.859,34.425,0,415
4075,1.02,0.124,0.056,2.99,8.42,5.22,-82.408,65.7,34.488,0,181
4097,1.024,0.136,0.064,0.83,5.98,5.91,-81.656,64.804,34.427,0,383
4117,1.024,0.128,0.068,3.76,5.57,6.05,-81.95,62.025,34.492,0,368
4137,1.028,0.132,0.032,-2.02,5.84,4.59,-82.48,76.379,34.185,0,357
4159,1.024,0.124,0.072,-5.36,5.43,4.38,-82.606,61.118,34.185,0,360
4179,1.02,0.12,0.06,0.77,1.04,4.66,-81.809,49.402,34.185,0,361
4200,1.024,0.116,0.084,2.02,2.23,3.13,-82.71,62.655,34.185,0,363
4221,1.016,0.116,0.068,2.09,1.39,2.23,-82.467,59.625,34.185,0,369
4242,1.012,0.116,0.064,-0.28,0.9,2.09,-82.548,61.118,34.076,0,388
4262,1,0.1,0.052,2.5,-0.83,2.23,-83.575,62.53,34.398,0,384
4284,1,0.112,0.048,0.42,-1.67,2.16,-83.059,66.806,34.329,0,383
4304,1.012,0.112,0.048,0.35,-1.67,1.04,-83.14,66.806,34.175,0,373
4325,1.02,0.124,0.056,2.92,-0.83,-0.42,-82.166,70.022,34.25,0,339
4346,1.02,0.144,0.02,-1.6,0.07,-0.49,-80.999,75.624,34.25,0,331
4367,1.02,0.156,0.06,-0.49,0.56,-2.02,-81.913,72.558,34.25,0,325
4387,1.016,0.136,0.044,0.42,0,-3.62,-81.998,72.077,34.25,0,336
4409,1.024,0.116,0.056,-0.42,-0.28,-5.5,-82.836,64.235,34.25,0,330
4429,1.016,0.096,0.064,1.25,-0.83,-7.51,-83.527,56.314,34.335,0,341
4451,1.02,0.092,0.068,2.64,-2.09,-6.68,-83.607,53.535,34.76,0,341
