Timestamp,ESP32_Data,Manual
1759045456.206623,"-0.040,-0.004,0.904,1.530,0.835,2.991,0.000,-89.809,271.880,748",0
1759045456.228623,"-0.036,0.000,0.904,1.530,1.043,2.991,0.000,-89.809,272.224,3528",0
1759045456.250623,"-0.036,0.000,0.908,1.322,1.043,2.991,0.000,-89.808,272.224,3208",0
1759045456.2726228,"-0.036,0.000,0.908,1.461,1.043,3.061,89.808,-45.000,272.224,618",0
1759045456.294623,"-0.036,-0.004,0.908,1.670,1.322,2.922,89.808,-45.000,272.224,2283",0
1759045456.3166242,"-0.036,-0.004,0.908,1.670,1.183,2.852,0.000,-89.807,272.224,4095",0
1759045456.338623,"-0.036,0.000,0.912,1.530,0.835,2.922,0.000,-89.807,272.224,1431",0
1759045456.3606257,"-0.040,0.000,0.900,1.461,1.043,2.852,0.000,-89.810,272.224,1004",0
1759045456.382623,"-0.040,0.000,0.900,1.530,1.043,2.991,0.000,-89.810,272.224,3823",0
1759045456.404624,"-0.036,0.000,0.904,1.600,0.974,2.852,0.000,-89.809,272.224,2842",0
1759045456.4266288,"-0.036,0.000,0.904,1.600,0.974,3.270,89.808,-45.000,272.224,542",0
1759045456.4486263,"-0.036,-0.004,0.908,1.600,0.974,2.783,89.808,-45.000,272.224,2669",0
1759045456.470624,"-0.032,-0.004,0.912,1.322,0.974,3.200,89.807,-45.000,272.224,1945",0
1759045456.4926295,"-0.036,0.000,0.904,1.322,1.113,3.061,0.000,-89.809,272.224,729",0
1759045456.5151522,"-0.036,0.000,0.904,1.322,1.043,3.200,0.000,-89.809,272.224,3450",0
1759045456.5371494,"-0.036,0.000,0.908,1.530,0.835,2.991,0.000,-89.808,272.224,3309",0
1759045456.5591512,"-0.036,0.000,0.908,1.530,0.835,2.783,0.000,-89.810,272.224,667",0
1759045456.5811515,"-0.036,0.000,0.900,1.530,0.974,2.643,0.000,-89.810,272.224,2063",0
1759045456.60315,"-0.036,-0.004,0.904,1.391,0.974,2.991,89.809,-45.000,272.586,4095",0
1759045456.6251514,"-0.036,-0.004,0.904,1.183,0.904,3.061,89.809,-45.000,272.765,1567",0
1759045456.6471488,"-0.032,0.000,0.904,1.322,1.183,2.991,0.000,-89.809,272.760,927",0
1759045456.6691592,"-0.032,0.000,0.904,1.322,1.113,2.852,89.808,-45.000,272.574,3771",0
1759045456.6921606,"-0.036,-0.004,0.908,1.600,0.974,2.991,89.808,-45.000,273.509,2904",0
1759045456.7141745,"-0.036,-0.004,0.908,1.809,0.835,2.783,89.808,-45.000,272.965,573",0
1759045456.7361705,"-0.032,-0.004,0.908,1.600,0.626,2.922,89.808,-45.000,272.047,2651",0
1759045456.7581952,"-0.036,0.000,0.908,1.391,0.904,2.922,0.000,-89.808,272.586,3935",0
1759045456.780726,"-0.036,0.000,0.908,1.391,1.113,3.130,0.000,-89.808,272.760,1128",0
1759045456.802728,"-0.032,0.000,0.908,1.322,1.113,2.922,0.000,-89.808,272.202,1277",0
1759045456.8247423,"-0.032,0.000,0.908,1.252,1.252,2.783,0.000,-89.808,271.864,4026",0
1759045456.8467429,"-0.036,0.000,0.908,1.530,0.835,3.061,0.000,-89.808,272.032,2524",0
1759045456.8687768,"-0.040,0.000,0.908,1.530,0.835,2.852,0.000,-89.808,272.754,560",0
1759045456.890892,"-0.040,0.000,0.908,1.461,0.904,2.783,0.000,-89.808,272.562,2912",0
1759045456.9128146,"-0.036,0.000,0.904,1.461,1.043,2.713,0.000,-89.809,272.368,3804",0
1759045456.9348147,"-0.036,0.000,0.904,1.391,0.904,2.852,0.000,-89.808,273.317,957",0
1759045456.9568148,"-0.036,0.000,0.908,1.391,1.252,3.200,0.000,-89.808,273.317,1513",0
1759045456.9788146,"-0.036,0.000,0.912,1.322,1.183,2.852,0.000,-89.807,273.317,4095",0
1759045457.0008159,"-0.036,0.000,0.912,1.113,1.113,2.922,0.000,-89.807,273.317,2217",0
1759045457.0233302,"-0.032,0.000,0.904,1.322,1.183,2.922,0.000,-89.809,273.317,632",0
1759045457.0453303,"-0.032,0.000,0.904,1.183,1.043,2.852,89.808,-45.000,273.317,3229",0
1759045457.0673313,"-0.036,-0.004,0.908,1.391,1.252,2.852,89.808,-45.000,273.317,3496",0
1759045457.0893304,"-0.032,0.000,0.912,1.183,1.183,3.130,0.000,-89.807,273.317,729",0
1759045457.1113307,"-0.032,0.000,0.912,1.391,1.113,3.130,0.000,-89.807,273.317,1885",0
1759045457.1333323,"-0.032,-0.004,0.908,1.252,1.183,2.991,89.808,-45.000,273.317,4095",0
