Time,ax,ay,az,gx,gy ,gz ,r ,p,y,manual,heart
1537,1.052,0.136,-0.188,3.34,3.83,-0.83,-77.567,144.128,38.404,0,315
1557,1.06,0.148,-0.196,0.49,8.14,0.9,-76.96,142.954,38.404,0,306
1579,1.044,0.128,-0.2,2.57,12.38,1.11,-77.192,147.392,38.404,0,328
1599,1.032,0.144,-0.148,4.38,11.9,1.46,-78.691,135.795,38.404,0,330
1619,1.02,0.152,-0.16,3.97,9.74,1.67,-78.13,128.167,38.517,0,329
1641,1.004,0.18,-0.116,-0.07,8,2.16,-77.655,123.699,38.939,0,337
1661,0.984,0.156,-0.12,-1.11,7.17,1.88,-78.695,127.578,38.806,0,334
1683,1,0.144,-0.096,0.35,2.85,-0.14,-80.187,123.699,38.834,0,347
1703,1.04,0.172,-0.12,-0.7,1.39,-1.74,-78.605,124.912,38.843,0,381
1724,1.048,0.176,-0.12,-1.04,-0.49,-3.62,-78.516,124.296,38.843,0,390
1745,1.036,0.14,-0.1,2.99,-5.84,-5.43,-80.577,125.547,38.843,0,343
1766,1.02,0.132,-0.104,8.9,-9.39,-5.01,-80.65,128.243,38.843,0,322
1787,0.988,0.18,-0.12,8.77,-9.32,-4.59,-77.368,120.793,38.843,0,333
1808,0.972,0.212,-0.124,6.26,-6.89,-4.03,-74.496,121.836,38.895,0,312
1828,0.988,0.236,-0.144,6.89,-4.45,-3.2,-74.536,120.265,39.006,0,299
1850,1.02,0.236,-0.148,4.1,-2.64,-2.57,-74.73,122.102,39.667,0,291
1870,1.028,0.212,-0.148,4.94,-0.21,-4.31,-75.888,124.929,39.524,0,286
1891,1.032,0.184,-0.148,6.26,0.07,-8.83,-77.118,128.821,39.54,0,283
1912,1.032,0.188,-0.156,7.86,0.28,-11.97,-76.688,129.695,39.554,0,293
1933,1.032,0.216,-0.16,9.32,1.95,-12.8,-75.406,126.538,39.554,0,301
1954,1.028,0.212,-0.168,7.51,4.1,-12.17,-75.318,128.405,39.554,0,305
1975,1.032,0.2,-0.156,8.63,3.76,-9.95,-76.518,127.066,39.554,0,314
1996,1.012,0.204,-0.152,12.94,2.92,-5.01,-74.889,127.217,39.822,0,297
2017,0.996,0.248,-0.18,11.9,5.29,1.6,-72.904,125.982,40.654,0,282
2037,1.016,0.244,-0.176,10.64,7.17,3.55,-73.511,125.813,40.875,0,277
2059,1.016,0.216,-0.14,12.17,4.52,0.97,-75.789,122.958,40.832,0,456
2079,1.008,0.208,-0.156,10.43,4.52,-0.9,-75.542,126.879,40.898,0,146
2101,1.012,0.208,-0.136,10.43,4.38,2.78,-76.209,123.188,40.923,0,255
2121,1.028,0.232,-0.192,18.64,3.13,6.89,-73.921,125.637,40.923,0,289
2143,1.028,0.26,-0.12,6.26,6.82,10.99,-73.519,114.889,40.923,0,314
2163,1.024,0.272,-0.16,-4.03,12.66,7.65,-72.211,125.059,40.923,0,323
2185,1,0.24,-0.18,-5.84,8.42,5.63,-73.306,126.879,40.938,0,327
2205,1.02,0.204,-0.18,-3.83,1.81,2.85,-75.071,131.433,40.654,0,322
2226,1.032,0.204,-0.168,-5.7,1.11,-1.53,-75.642,129.482,40.762,0,340
2247,1.016,0.208,-0.144,-11.55,2.57,-1.67,-76.023,124.704,40.445,0,355
2268,1.02,0.216,-0.132,-10.23,3.27,-2.02,-76.068,121.439,40.63,0,368
2289,1.036,0.248,-0.12,-9.46,3.97,0.07,-75.263,113.971,40.607,0,375
2310,1.064,0.256,-0.12,-11.13,6.61,0.07,-75.344,113.638,40.607,1,351
2330,1.064,0.256,-0.116,-13.7,7.65,-0.14,-75.638,113.541,40.607,1,315
2352,1.056,0.24,-0.092,-12.8,6.19,0.07,-76.326,110.982,40.607,1,298
2372,1.048,0.228,-0.108,-8.42,7.79,-3.34,-76.47,115.355,40.607,1,299
2394,1.028,0.22,-0.06,-6.82,7.44,-4.17,-77.499,105.263,40.816,1,295
2414,1.02,0.188,-0.108,-4.8,8.14,-1.46,-78.005,119.885,40.825,1,306
2436,1.012,0.168,-0.072,-2.5,7.03,0.7,-79.768,113.207,40.908,1,312
2456,1.024,0.176,-0.072,-1.32,5.91,1.74,-78.126,111.81,40.886,1,312
2477,1.032,0.216,-0.076,-1.46,6.68,7.58,-76.531,108.734,40.896,1,315
2498,1.048,0.248,-0.088,-1.67,9.39,10.37,-76.289,108.161,40.896,1,309
2519,1.036,0.232,-0.088,-0.7,9.88,9.25,-76.537,110.78,40.896,1,304
2540,1.036,0.212,-0.056,6.47,8.07,6.89,-78.055,104.804,40.896,1,296
2561,1.028,0.188,-0.068,8.35,7.51,6.61,-79.001,109.893,40.896,1,294
2581,1.02,0.204,-0.084,8.83,6.96,6.89,-77.801,112.388,40.605,1,292
2603,1.04,0.228,-0.088,8.21,5.15,7.79,-76.781,111.113,40.735,1,287
2623,1.06,0.252,-0.084,4.38,7.17,7.72,-75.924,104.044,40.76,1,276
2644,1.048,0.252,-0.072,6.47,6.89,3.97,-76.272,103.608,40.595,1,283
2665,1.036,0.236,-0.06,12.31,3.55,-0.49,-77.237,103.807,40.544,1,317
2685,1.048,0.212,-0.072,8.49,6.19,-4.66,-77.946,108.767,40.544,1,320
2707,1.024,0.204,-0.084,5.77,6.47,-1.39,-77.847,112.388,40.544,1,311
2727,1.012,0.212,-0.088,3.48,7.37,4.59,-77.226,112.551,40.544,1,313
2749,1.012,0.224,-0.088,1.74,9.32,5.91,-76.629,111.456,40.544,1,335
2769,1.008,0.228,-0.088,5.57,6.4,3.83,-76.377,111.113,40.857,1,465
2790,1.008,0.224,-0.08,5.15,5.98,2.71,-76.931,106.895,41.06,1,241
2811,1.016,0.228,-0.084,2.23,5.7,2.85,-76.584,114.066,41.026,1,362
2832,1.016,0.208,-0.14,5.7,3.76,3.69,-76.756,110.564,41.055,1,338
2853,1.028,0.236,-0.072,-0.56,6.19,3.06,-76.509,106.974,40.918,1,340
2874,1.02,0.228,-0.092,-3.41,6.33,2.71,-76.454,111.983,40.918,1,349
2894,1.028,0.22,-0.096,1.39,3.97,2.71,-76.863,113.583,40.918,1,352
2916,1.036,0.228,-0.088,0,5.36,1.67,-76.732,111.113,40.918,1,355
2936,1.032,0.216,-0.096,-0.63,5.36,3.06,-77.105,113.971,40.918,1,371
2958,1.028,0.224,-0.06,-1.6,6.82,3.34,-77.875,109.102,41.099,1,371
2978,1.02,0.212,-0.072,-2.78,7.1,4.59,-77.236,107.184,41.138,1,366
2999,1.012,0.22,-0.076,-3.97,7.17,4.87,-77.232,110.331,40.986,1,351
3020,1.028,0.22,-0.072,-4.31,7.37,3.83,-77.316,108.13,40.986,1,317
3041,1.028,0.232,-0.06,-5.08,8.07,3.2,-76.884,104.508,41.059,1,281
3062,1.024,0.228,-0.056,-5.57,8.56,3.62,-77.092,103.807,41.059,1,277
3083,1.024,0.208,-0.08,-4.17,8.49,4.38,-77.728,111.046,41.059,1,278
3103,1.02,0.216,-0.02,-6.47,10.37,5.22,-78,95.297,41.059,1,272
3125,1.016,0.196,-0.076,-4.8,10.99,4.8,-78.316,111.202,41.059,1,276
3145,1.024,0.2,-0.048,-4.31,8.83,5.43,-78.185,103.002,40.946,1,278
3167,1.02,0.22,-0.056,-3.97,9.32,5.08,-77.827,104.804,40.74,1,275
3187,1.016,0.22,-0.056,-4.17,9.25,5.29,-77.478,100.132,40.949,1,279
3208,1.028,0.212,-0.04,-3.13,9.6,4.38,-78.153,100.692,40.891,1,285
3229,1.024,0.208,-0.028,-2.37,9.46,3.27,-78.423,97.674,40.788,1,281
3250,1.024,0.208,-0.02,-2.16,9.11,3.48,-78.472,95.499,40.788,1,281
