29112,0.992,-0.056,0.184,-1.11,2.71,2.71,-80.136,-18.855,30.204,0,378
29132,0.996,-0.048,0.164,1.81,0.83,3.62,-79.647,-16.461,30.138,0,381
29154,1.000,-0.060,0.172,3.06,0.00,1.81,-79.566,-22.716,30.336,0,368
29174,1.012,-0.056,0.168,1.18,1.88,2.43,-80.080,-18.436,30.336,0,368
29196,1.008,-0.044,0.172,0.90,2.71,2.64,-80.017,-14.350,30.336,0,376
29216,1.008,-0.048,0.176,1.46,2.30,2.50,-79.748,-15.256,30.336,0,374
29237,1.000,-0.060,0.172,1.46,2.09,2.37,-79.682,-19.232,30.336,0,366
29258,0.992,-0.056,0.176,1.04,1.95,2.43,-79.459,-17.651,30.436,0,345
29279,0.992,-0.060,0.176,0.70,1.95,3.20,-79.310,-16.115,30.391,0,330
29300,0.996,-0.052,0.176,2.02,3.06,2.71,-80.213,-18.855,30.338,0,334
29321,0.996,-0.048,0.184,1.60,1.88,2.71,-79.025,-14.324,30.368,0,338
29341,1.008,-0.052,0.156,1.74,3.69,2.71,-80.741,-18.436,30.358,0,318
29363,1.004,-0.060,0.192,1.46,1.95,2.16,-78.676,-17.355,30.358,0,308
29383,1.012,-0.056,0.168,1.67,1.46,2.23,-80.080,-18.436,30.358,0,301
29405,1.008,-0.048,0.180,0.35,2.09,2.43,-79.535,-14.933,30.358,0,294
29425,1.004,-0.052,0.176,0.07,2.30,2.92,-79.647,-16.461,30.358,0,302
29446,1.004,-0.060,0.180,-0.70,2.30,2.99,-79.052,-18.062,30.269,0,327
29467,0.996,-0.060,0.184,-0.28,1.67,2.85,-79.119,-16.929,30.492,0,343
29488,0.992,-0.060,0.184,0.07,1.25,2.85,-79.288,-17.283,30.414,0,366
29509,0.992,-0.056,0.180,0.14,1.32,3.06,-79.246,-17.283,30.359,0,354
29530,1.000,-0.048,0.176,0.07,1.60,3.13,-79.667,-15.256,30.258,0,327
29550,1.000,-0.048,0.176,-0.35,1.95,2.92,-79.667,-15.256,30.258,0,311
29572,1.008,-0.048,0.172,0.00,1.67,2.85,-79.960,-15.594,30.258,0,391
29592,1.008,-0.048,0.176,0.42,1.18,2.85,-79.748,-15.256,30.258,0,230
29614,1.004,-0.044,0.192,-2.37,0.49,3.20,-78.467,-17.022,30.258,0,181
29634,1.000,-0.064,0.180,0.49,0.42,2.99,-81.465,-21.803,30.347,0,324
29655,1.000,-0.064,0.176,-1.74,1.32,3.48,-79.399,-19.985,30.304,0,351
29676,1.000,-0.068,0.188,-2.71,2.16,2.43,-78.700,-19.887,30.271,0,370
29697,0.996,-0.056,0.168,0.42,2.23,3.06,-79.924,-18.436,30.213,0,383
29718,1.004,-0.056,0.180,2.37,-0.21,2.85,-79.372,-17.283,30.305,0,369
29739,1.000,-0.064,0.176,1.95,0.56,2.02,-79.399,-19.985,30.305,0,369
29759,1.008,-0.056,0.176,0.28,2.23,2.09,-80.148,-17.200,30.305,0,376
29780,1.008,-0.044,0.168,1.11,2.37,2.16,-79.640,-12.530,30.305,0,384
29801,1.008,-0.048,0.180,1.67,1.95,2.37,-79.453,-14.933,30.305,0,374
29822,0.992,-0.052,0.172,0.90,2.09,2.37,-79.739,-16.823,30.435,0,369
29843,0.992,-0.052,0.180,0.42,2.37,2.85,-79.310,-16.115,30.213,0,342
29863,0.992,-0.060,0.180,0.56,2.16,2.99,-79.178,-18.436,30.403,0,335
29885,1.000,-0.060,0.172,2.16,1.95,2.50,-79.682,-19.232,30.468,0,342
29905,1.008,-0.048,0.184,1.32,3.27,2.57,-79.323,-14.622,30.468,0,322
29927,1.004,-0.056,0.168,0.83,2.02,3.20,-78.968,-15.462,30.479,0,310
29947,1.004,-0.060,0.192,1.25,1.46,2.71,-79.623,-17.651,30.479,0,301
29969,1.008,-0.052,0.184,0.56,1.46,2.57,-79.763,-14.037,30.479,0,290
29989,1.004,-0.044,0.180,-0.14,1.88,2.99,-79.549,-13.737,30.479,0,286
30010,1.004,-0.052,0.188,-0.42,2.37,2.92,-79.011,-15.462,30.468,0,308
30031,0.992,-0.060,0.184,-0.28,1.74,2.78,-78.966,-18.062,30.447,0,326
30052,0.996,-0.060,0.184,0.07,0.63,2.50,-79.010,-18.062,30.336,0,341
30073,1.000,-0.060,0.180,0.14,0.49,2.43,-79.262,-18.436,30.424,0,348
30094,1.004,-0.052,0.172,-0.42,0.42,2.57,-79.494,-14.933,30.349,0,348
30114,1.008,-0.048,0.196,-0.97,-0.42,2.23,-78.675,-14.860,30.404,1,315
30136,1.008,-0.056,0.184,-1.11,0.14,2.43,-79.590,-13.737,30.404,1,307
30156,1.004,-0.044,0.172,-3.27,1.39,2.57,-79.978,-14.350,30.404,1,302
30178,1.004,-0.052,0.172,-2.02,0.63,2.85,-79.859,-16.823,30.404,1,376
30198,0.996,-0.064,0.172,-1.81,-0.56,2.50,-79.566,-20.411,30.404,1,286
