Timestamp,ESP32_Data,Manual
1759056551.1280417,"0.964,-0.120,0.312,3.896,2.922,1.739,89.938,-0.211,47.999,3787",0
1759056551.4125743,"0.952,-0.112,0.304,3.965,2.157,1.391,89.940,-0.208,47.890,3662",0
1759056551.4345746,"0.952,-0.112,0.304,3.548,1.670,1.530,89.939,-0.207,47.950,168",0
1759056551.456574,"0.948,-0.108,0.308,3.409,1.670,2.017,89.939,-0.207,47.891,2156",0
1759056551.4785912,"0.956,-0.108,0.308,3.061,2.017,2.017,89.939,-0.209,47.891,4095",0
1759056551.5002935,"0.956,-0.108,0.308,3.409,2.365,1.878,89.939,-0.209,47.891,1198",0
1759056551.522625,"0.956,-0.108,0.312,3.130,2.574,1.670,89.938,-0.209,47.891,637",0
1759056551.5446541,"0.956,-0.108,0.312,3.200,2.226,1.600,89.939,-0.207,47.891,4095",0
1759056551.5672567,"0.948,-0.112,0.308,2.991,1.739,1.809,89.939,-0.207,47.891,2858",0
1759056551.5892673,"0.952,-0.116,0.308,2.922,1.739,1.878,89.939,-0.208,47.891,57",1
1759056551.6116521,"0.952,-0.116,0.308,3.061,1.322,2.157,89.939,-0.208,47.891,3002",1
1759056551.6336777,"0.956,-0.116,0.320,3.339,1.252,2.365,89.937,-0.209,47.891,4095",1
1759056551.655464,"0.956,-0.116,0.320,3.339,0.974,2.504,89.939,-0.207,47.891,573",1
1759056551.6772,"0.948,-0.112,0.308,3.130,1.530,2.226,89.939,-0.207,47.891,1338",1
1759056551.6997116,"0.948,-0.116,0.304,3.200,1.809,2.296,89.940,-0.207,47.891,4095",1
1759056551.721761,"0.948,-0.116,0.304,3.061,2.017,2.435,89.940,-0.207,47.891,2024",1
1759056551.7442226,"0.948,-0.112,0.312,3.200,1.878,2.435,89.938,-0.207,47.891,220",1
1759056551.766662,"0.948,-0.112,0.312,2.991,1.600,2.296,89.942,-0.207,47.891,3775",1
1759056551.7891371,"0.948,-0.124,0.296,3.478,1.530,2.365,89.942,-0.207,47.891,3661",1
1759056551.8110166,"0.948,-0.124,0.296,3.270,1.600,2.296,89.940,-0.208,47.891,168",1
1759056551.833036,"0.952,-0.120,0.304,3.200,1.809,2.435,89.940,-0.208,47.891,2170",1
1759056551.855084,"0.952,-0.120,0.304,2.991,1.809,2.852,89.940,-0.208,47.978,4095",1
1759056551.8771467,"0.952,-0.120,0.304,2.713,1.391,2.852,89.938,-0.207,48.009,1197",1
1759056551.8990557,"0.948,-0.116,0.316,2.296,0.765,2.365,89.939,-0.206,48.100,3596",1
1759056551.9210453,"0.944,-0.116,0.308,2.226,4558.957,2.852,89.939,-0.206,48.125,3872",1
1759056551.943093,"0.944,-0.116,0.308,2.296,0.278,3.270,89.939,-0.209,48.184,233",1
1759056551.965783,"0.956,-0.120,0.308,2.643,0.487,3.130,89.939,-0.209,48.242,1960",1
1759056551.9877965,"0.956,-0.120,0.312,2.922,0.487,2.852,89.938,-0.209,48.212,4095",1
1759056552.0097964,"0.956,-0.120,0.312,3.061,0.626,2.365,89.938,-0.208,48.125,1355",1
1759056552.0317962,"0.952,-0.112,0.312,3.061,0.835,2.574,89.938,-0.208,48.015,509",1
1759056552.0537968,"0.952,-0.112,0.312,2.922,0.765,2.435,89.938,-0.209,47.871,4095",1
1759056552.076312,"0.956,-0.116,0.312,2.922,0.835,2.435,89.938,-0.209,47.845,3016",1
1759056552.0983114,"0.952,-0.116,0.320,3.061,0.904,2.435,89.937,-0.208,47.898,72",1
1759056552.1203282,"0.952,-0.116,0.320,3.061,0.974,2.017,89.938,-0.209,48.097,2796",1
1759056552.142344,"0.956,-0.120,0.316,2.991,0.765,1.809,89.938,-0.209,48.043,4095",1
1759056552.1653416,"0.956,-0.120,0.316,3.270,0.626,1.809,89.938,-0.208,47.957,665",1
1759056552.1881902,"0.952,-0.124,0.316,2.991,0.696,2.087,89.938,-0.208,47.957,1149",1
1759056552.2111883,"0.952,-0.116,0.324,3.130,0.835,2.504,89.936,-0.208,47.957,4095",1
1759056552.2331917,"0.952,-0.116,0.324,2.991,0.835,2.435,89.938,-0.208,47.957,2203",1
1759056552.2551913,"0.952,-0.120,0.316,2.922,1.043,2.435,89.938,-0.208,47.957,157",1
1759056552.277041,"0.952,-0.120,0.316,3.270,1.043,2.087,89.938,-0.209,47.957,3608",1
1759056552.2990818,"0.956,-0.120,0.312,3.409,0.904,1.809,89.938,-0.209,47.957,3834",1
1759056552.3213868,"0.948,-0.112,0.312,3.200,0.278,1.878,89.938,-0.207,47.957,221",1
1759056552.343573,"0.948,-0.112,0.312,3.061,0.626,2.435,89.938,-0.207,47.957,1961",1
1759056552.3655882,"0.952,-0.108,0.312,3.339,0.278,2.643,89.938,-0.208,47.957,4095",1
1759056552.3885908,"0.952,-0.108,0.312,3.478,0.417,2.574,89.939,-0.209,47.957,1385",1
1759056552.410637,"0.956,-0.104,0.308,3.826,0.278,2.087,89.939,-0.209,47.957,522",1
1759056552.4324052,"0.952,-0.104,0.304,3.548,0.278,1.530,89.940,-0.208,47.957,4095",1
1759056552.4546993,"0.952,-0.104,0.304,3.409,0.139,2.157,89.940,-0.208,47.957,3019",1
1759056552.4768782,"0.952,-0.104,0.316,3.409,0.348,2.157,89.938,-0.208,47.957,79",1
1759056552.498618,"0.952,-0.104,0.316,3.339,0.070,2.296,89.940,-0.208,47.957,2816",1
1759056552.5213223,"0.952,-0.096,0.304,3.409,0.904,2.296,89.940,-0.208,47.957,4095",1
1759056552.5438354,"0.960,-0.104,0.312,3.200,0.765,2.226,89.938,-0.210,47.987,698",1
1759056552.5661423,"0.960,-0.104,0.312,2.922,0.765,1.948,89.938,-0.210,48.309,1168",1
1759056552.5885634,"0.952,-0.100,0.312,2.991,0.557,1.670,89.938,-0.208,48.252,4095",1
1759056552.611242,"0.952,-0.100,0.312,2.991,0.278,1.948,89.940,-0.208,48.162,2205",1
1759056552.6332562,"0.952,-0.096,0.304,2.783,0.557,2.783,89.940,-0.208,48.245,158",1
1759056552.6552792,"0.960,-0.100,0.308,2.713,0.696,2.852,89.939,-0.210,48.389,3640",1
1759056552.677091,"0.960,-0.100,0.308,2.643,1.252,2.783,89.939,-0.210,48.477,3852",1
1759056552.6991155,"0.960,-0.100,0.312,2.435,1.183,2.574,89.938,-0.210,48.453,224",1
1759056552.7213404,"0.960,-0.100,0.312,2.574,1.183,2.087,89.939,-0.208,48.598,1935",1
