Timestamp,ESP32_Data,Manual
1759249087.6173613,"1.028,0.084,0.004,4.522,7.583,2.157,87.144,-85.534,50.746,2061",0
1759249087.8463614,"1.024,0.080,0.004,4.800,7.374,2.157,87.144,-85.534,50.746,2079",0
1759249087.8682928,"1.024,0.080,0.004,4.661,6.817,2.157,90.007,-85.556,50.746,2095",0
1759249087.8903294,"1.028,0.080,0.000,5.009,6.122,2.365,90.007,-85.556,50.746,2092",0
1759249087.9123733,"1.028,0.076,0.004,4.730,6.052,2.435,86.994,-85.772,50.746,2091",0
1759249087.934416,"1.028,0.076,0.004,4.870,5.635,2.435,86.994,-85.772,50.746,2104",0
1759249087.956658,"1.024,0.068,-0.004,4.522,5.217,2.574,0.015,-0.224,50.746,2094",0
1759249087.9790142,"1.024,0.068,-0.004,4.800,4.591,2.643,90.007,-85.984,50.746,2089",0
1759249088.0013924,"1.024,0.072,0.000,4.661,3.896,2.783,90.007,-85.984,50.746,2106",0
1759249088.0237174,"1.024,0.072,0.000,4.243,3.826,2.991,90.007,-85.984,50.746,2111",0
1759249088.0457175,"1.024,0.072,0.000,3.687,3.200,2.783,90.007,-85.984,50.746,2094",0
1759249088.0677185,"1.024,0.072,0.000,2.991,2.643,2.504,90.007,-85.984,50.746,2104",0
1759249088.0897188,"1.024,0.072,0.000,2.435,2.226,2.852,90.007,-85.762,50.746,2123",0
1759249088.1117184,"1.024,0.076,0.000,2.226,1.948,3.200,90.007,-85.762,50.746,2126",0
1759249088.1337187,"1.028,0.072,0.000,2.296,1.530,3.270,90.007,-86.000,50.746,2111",0
1759249088.155718,"1.028,0.072,0.000,2.157,0.904,3.826,90.007,-86.000,50.746,2123",0
1759249088.1777172,"1.028,0.076,-0.004,1.948,0.765,4.174,0.017,-0.225,50.768,2120",0
1759249088.199719,"1.028,0.076,-0.004,1.739,0.557,4.243,90.007,-86.031,51.037,2106",0
1759249088.2217188,"1.036,0.072,0.000,1.391,0.696,3.826,90.007,-86.031,51.015,2120",0
1759249088.2442365,"1.036,0.072,0.000,1.670,0.765,3.478,0.017,-0.226,50.990,2120",0
1759249088.2662368,"1.032,0.080,-0.004,1.461,0.765,3.617,0.017,-0.226,51.034,2120",0
1759249088.2882366,"1.044,0.076,0.000,1.391,0.417,3.548,90.007,-85.843,51.147,2111",0
1759249088.3112342,"1.044,0.076,0.000,0.974,0.626,3.687,90.007,-85.859,51.195,2136",0
1759249088.333235,"1.048,0.076,0.000,0.417,0.626,3.757,90.007,-85.859,51.062,2136",0
1759249088.3552349,"1.048,0.076,0.000,0.070,0.974,3.409,86.994,-85.869,50.880,2137",0
1759249088.3770158,"1.052,0.076,0.004,4558.887,1.113,3.409,86.994,-85.869,50.991,2155",0
1759249088.3992689,"1.056,0.080,0.004,0.000,1.461,2.852,87.144,-85.669,51.039,2144",0
1759249088.4214172,"1.056,0.080,0.004,4558.957,1.600,3.061,84.296,-85.652,50.701,2108",0
1759249088.4434402,"1.056,0.080,0.008,4558.887,2.087,3.061,84.296,-85.652,50.743,2152",0
1759249088.4659615,"1.056,0.080,0.008,4558.817,2.226,2.783,87.144,-85.652,51.078,2205",0
